submission_id,RT,age,author,block,correct,description,education,experiment_id,gender,happy,hungry,languages,org,org_pos,org_pos_ex,pause_times,reaction,rotate,target,target_pos,target_pos_ex,timeBCT,timeSpent,tired,trial_number,trial_type
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,250,11.5522666667,17,1,practiceKeyPress
14,398,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,space,false,4,0|333.3333333333333,4,200,11.5522666667,17,2,practiceKeyPress
14,403,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,space,false,4,0|333.3333333333333,4,200,11.5522666667,17,3,practiceKeyPress
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,1,333.3333333333333|0,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,150,11.5522666667,17,4,practiceKeyPress
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,250,11.5522666667,17,5,practiceKeyPress
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,200,11.5522666667,17,6,practiceKeyPress
14,421,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,space,false,1,333.3333333333333|0,4,200,11.5522666667,17,7,practiceKeyPress
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,150,11.5522666667,17,8,practiceKeyPress
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,150,11.5522666667,17,9,practiceKeyPress
14,,21,JannisAndTill,practice,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,250,11.5522666667,17,10,practiceKeyPress
14,309,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,space,false,4,0|333.3333333333333,4,200,11.5522666667,17,1,mainKeyPress
14,396,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,space,true,0,0|0,4,250,11.5522666667,17,2,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,200,11.5522666667,17,3,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,250,11.5522666667,17,4,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,150,11.5522666667,17,5,mainKeyPress
14,359,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,1,333.3333333333333|0,3,13070|3298|1850|1436|7325,space,false,0,0|0,4,250,11.5522666667,17,6,mainKeyPress
14,370,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,space,true,4,0|333.3333333333333,4,200,11.5522666667,17,7,mainKeyPress
14,362,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,space,true,0,0|0,4,250,11.5522666667,17,8,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,200,11.5522666667,17,9,mainKeyPress
14,379,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,space,false,4,0|333.3333333333333,4,200,11.5522666667,17,10,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,150,11.5522666667,17,11,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,1,333.3333333333333|0,3,13070|3298|1850|1436|7325,wait,true,false,false|false,4,150,11.5522666667,17,12,mainKeyPress
14,362,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,1,333.3333333333333|0,3,13070|3298|1850|1436|7325,space,true,1,333.3333333333333|0,4,250,11.5522666667,17,13,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,150,11.5522666667,17,14,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,1,333.3333333333333|0,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,200,11.5522666667,17,15,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,250,11.5522666667,17,16,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,3,333.3333333333333|333.3333333333333,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,200,11.5522666667,17,17,mainKeyPress
14,356,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,1,333.3333333333333|0,3,13070|3298|1850|1436|7325,space,true,3,333.3333333333333|333.3333333333333,4,250,11.5522666667,17,18,mainKeyPress
14,340,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,4,0|333.3333333333333,3,13070|3298|1850|1436|7325,space,true,4,0|333.3333333333333,4,150,11.5522666667,17,19,mainKeyPress
14,,21,JannisAndTill,1,true,Object-Biases(FIT),graduated_high_school,4,male,68,16,german,0,0|0,3,13070|3298|1850|1436|7325,wait,false,false,false|false,4,250,11.5522666667,17,20,mainKeyPress
